,driverId,constructorId,grid,year_x,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,statusId_1,statusId_2,statusId_3,positionOrder,Column1
73,807,4,15,2019,73,0,0,0,0,0,0.0,1.0,0.0,0,0.0
74,847,3,16,2019,73,0,0,0,0,0,0.0,1.0,0.0,0,0.0
75,9,3,0,2019,73,0,0,0,0,0,0.0,1.0,0.0,0,0.0
76,842,9,0,2019,73,0,0,0,0,0,0.0,0.0,1.0,0,0.0
77,154,210,14,2019,73,0,0,0,0,0,0.0,0.0,1.0,0,0.0
78,826,5,6,2019,73,0,0,0,0,0,0.0,0.0,1.0,0,0.0
79,817,4,10,2019,73,0,0,0,0,0,0.0,0.0,1.0,0,0.0
80,1,131,2,2019,4,0,0,0,0,0,1.0,0.0,0.0,1,0.36420646
81,822,131,1,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,0.00037699938
82,830,9,4,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,0.07629365
83,20,6,3,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,0.13818651
84,844,6,5,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,0.04660651
85,842,9,6,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,0.02384007
86,825,210,8,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,4.369632e-21
87,832,1,12,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,5.28811e-07
88,826,5,9,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,0.00016781688
89,154,210,7,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,5.210504e-06
90,848,5,11,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,2.2538784e-06
91,817,4,13,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,7.886323e-08
92,807,4,0,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,0.3292907
93,8,51,14,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,0.00018844008
94,815,211,15,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,9.353621e-30
