raceId,endingposition,resultId,raceId,driverId,constructorId,startingposition,racestatus,circuit,train_test
25,10,158,25,1,1,13,1,8,1
25,11,159,25,10,7,8,1,8,1
25,12,160,25,20,5,12,1,8,1
25,13,161,25,2,2,11,1,8,1
25,14,162,25,22,11,20,1,8,1
25,15,163,25,6,3,15,1,8,1
25,16,164,25,3,3,19,1,8,1
25,17,165,25,7,5,14,1,8,1
25,18,166,25,21,10,17,1,8,1
25,19,167,25,16,10,18,1,8,1
25,0,168,25,18,11,16,2,8,1
26,1,169,26,1,1,4,1,9,1
26,2,170,26,2,2,5,1,9,1
26,3,171,26,22,11,16,1,9,1
26,4,172,26,8,6,3,1,9,1
26,5,173,26,5,1,1,1,9,1
26,6,174,26,4,4,6,1,9,1
26,7,175,26,15,7,14,1,9,1
26,8,176,26,6,3,15,1,9,1
26,9,177,26,3,3,20,1,9,1
26,10,178,26,17,9,2,1,9,1
26,11,179,26,7,5,13,1,9,1
26,12,180,26,10,7,12,1,9,1
26,13,181,26,13,6,9,1,9,1
26,0,182,26,9,2,10,2,9,1
26,0,183,26,18,11,17,2,9,1
26,0,184,26,12,4,7,2,9,1
26,0,185,26,21,10,19,2,9,1
26,0,186,26,16,10,18,2,9,1
26,0,187,26,20,5,8,2,9,1
26,0,188,26,14,9,11,2,9,1
27,1,189,27,1,1,1,1,10,1
27,2,190,27,12,4,17,1,10,1
27,3,191,27,13,6,2,1,10,1
27,4,192,27,2,2,12,1,10,1
27,5,193,27,5,1,3,1,10,1
27,6,194,27,8,6,6,1,10,1
27,7,195,27,9,2,7,1,10,1
27,8,196,27,20,5,9,1,10,1
27,9,197,27,15,7,4,1,10,1
27,10,198,27,3,3,13,1,10,1
27,11,199,27,4,4,5,1,10,1
27,12,200,27,7,5,15,1,10,1
27,13,201,27,14,9,10,1,10,1
27,14,202,27,6,3,16,1,10,1
27,15,203,27,16,10,19,1,10,1
27,16,204,27,21,10,20,1,10,1
27,17,205,27,18,11,14,1,10,1
27,0,206,27,22,11,18,2,10,1
27,0,207,27,17,9,8,2,10,1
27,0,208,27,10,7,11,2,10,1
28,1,209,28,5,1,2,1,11,1
28,2,210,28,10,7,5,1,11,1
28,3,211,28,8,6,6,1,11,1
28,4,212,28,4,4,7,1,11,1
28,5,213,28,1,1,1,1,11,1
28,6,214,28,12,4,10,1,11,1
28,7,215,28,15,7,9,1,11,1
28,8,216,28,9,2,4,1,11,1
28,9,217,28,17,9,8,1,11,1
28,10,218,28,2,2,15,1,11,1
28,11,219,28,14,9,13,1,11,1
28,12,220,28,18,11,12,1,11,1
28,13,221,28,6,3,16,1,11,1
28,14,222,28,3,3,14,1,11,1
28,15,223,28,21,10,18,1,11,1
28,16,224,28,22,11,17,1,11,1
28,0,225,28,13,6,3,2,11,1
28,18,226,28,7,5,19,1,11,1
28,0,227,28,16,10,20,2,11,1
28,0,228,28,20,5,11,2,11,1
29,1,229,29,13,6,1,1,12,1
29,2,230,29,1,1,2,1,12,1
29,3,231,29,9,2,3,1,12,1
29,4,232,29,5,1,5,1,12,1
29,5,233,29,15,7,7,1,12,1
29,6,234,29,20,5,6,1,12,1
29,7,235,29,10,7,13,1,12,1
29,8,236,29,3,3,9,1,12,1
29,9,237,29,2,2,8,1,12,1
29,10,238,29,7,5,10,1,12,1
29,11,239,29,12,4,15,1,12,1
29,12,240,29,17,9,14,1,12,1
29,13,241,29,18,11,16,1,12,1
29,14,242,29,21,10,18,1,12,1
29,15,243,29,6,3,11,1,12,1
29,16,244,29,22,11,19,1,12,1
29,17,245,29,14,9,17,1,12,1
29,0,246,29,8,6,4,2,12,1
29,0,247,29,16,10,20,2,12,1
29,0,248,29,4,4,12,2,12,1
30,1,249,30,13,6,2,1,13,1
30,2,250,30,2,2,5,1,13,1
30,3,251,30,1,1,1,1,13,1
30,4,252,30,4,4,6,1,13,1
30,5,253,30,20,5,10,1,13,1
30,6,254,30,9,2,8,1,13,1
30,7,255,30,7,5,9,1,13,1
30,8,256,30,17,9,7,1,13,1
30,9,257,30,10,7,13,1,13,1
30,0,258,30,5,1,3,2,13,1
30,11,259,30,14,9,14,1,13,1
30,12,260,30,3,3,15,1,13,1
30,13,261,30,16,10,18,1,13,1
30,14,262,30,6,3,19,1,13,1
30,15,263,30,18,11,17,1,13,1
30,16,264,30,15,7,11,1,13,1
30,17,265,30,21,10,20,1,13,1
30,0,266,30,8,6,4,2,13,1
30,0,267,30,22,11,16,2,13,1
30,0,268,30,12,4,12,2,13,1
31,1,269,31,20,5,1,1,14,1
31,2,270,31,5,1,2,1,14,1
31,3,271,31,9,2,11,1,14,1
31,4,272,31,4,4,8,1,14,1
31,5,273,31,2,2,10,1,14,1
31,6,274,31,13,6,6,1,14,1
31,7,275,31,1,1,15,1,14,1
31,8,276,31,17,9,3,1,14,1
31,9,277,31,8,6,14,1,14,1
31,10,278,31,12,4,17,1,14,1
31,11,279,31,10,7,9,1,14,1
31,12,280,31,6,3,18,1,14,1
31,13,281,31,15,7,7,1,14,1
31,14,282,31,3,3,5,1,14,1
31,15,283,31,18,11,19,1,14,1
31,16,284,31,14,9,13,1,14,1
31,17,285,31,22,11,16,1,14,1
31,18,286,31,7,5,4,1,14,1
31,19,287,31,16,10,20,1,14,1
31,0,288,31,21,10,12,2,14,1
32,1,289,32,4,4,15,1,15,1
32,2,290,32,3,3,8,1,15,1
32,3,291,32,1,1,2,1,15,1
32,4,292,32,10,7,7,1,15,1
32,5,293,32,20,5,6,1,15,1
32,6,294,32,2,2,9,1,15,1
32,7,295,32,14,9,14,1,15,1
32,8,296,32,6,3,10,1,15,1
32,9,297,32,18,11,12,1,15,1
32,10,298,32,5,1,5,1,15,1
32,11,299,32,9,2,4,1,15,1
32,12,300,32,7,5,17,1,15,1
32,13,301,32,13,6,1,1,15,1
32,14,302,32,21,10,20,1,15,1
32,0,303,32,8,6,3,2,15,1
32,0,304,32,15,7,11,2,15,1
32,0,305,32,16,10,19,2,15,1
32,0,306,32,17,9,13,2,15,1
32,0,307,32,22,11,18,2,15,1
32,0,308,32,12,4,16,2,15,1
33,1,309,33,4,4,4,1,16,1
33,2,310,33,9,2,6,1,16,1
33,3,311,33,8,6,2,1,16,1
33,4,312,33,12,4,12,1,16,1
33,5,313,33,15,7,7,1,16,1
33,6,314,33,20,5,9,1,16,1
33,7,315,33,13,6,5,1,16,1
33,8,316,33,17,9,13,1,16,1
33,9,317,33,2,2,16,1,16,1
33,10,318,33,7,5,10,1,16,1
33,11,319,33,3,3,15,1,16,1
33,12,320,33,1,1,1,1,16,1
33,13,321,33,22,11,17,1,16,1
33,14,322,33,18,11,18,1,16,1
33,15,323,33,6,3,14,1,16,1
33,0,324,33,21,10,20,2,16,1
33,0,325,33,5,1,3,2,16,1
33,0,326,33,16,10,19,2,16,1
33,0,327,33,10,7,8,2,16,1
33,0,328,33,14,9,11,2,16,1
34,1,329,34,1,1,1,1,17,1
