ending_position,raceId,curcuit_id,driverId,constructorId,starting_position,finish_status,train_test,resultId
2,343,5,18,1,4,1,1,20468
3,343,5,17,9,1,1,1,20469
4,343,5,30,131,5,1,1,20470
5,343,5,3,131,6,1,1,20471
6,343,5,9,4,7,1,1,20472
7,343,5,13,6,8,1,1,20473
8,343,5,4,6,12,1,1,20474
9,343,5,16,10,11,1,1,20475
10,343,5,155,15,10,1,1,20476
11,343,5,37,15,13,1,1,20477
12,343,5,153,5,16,1,1,20478
13,343,5,24,10,18,1,1,20479
14,343,5,22,3,15,1,1,20480
15,343,5,808,4,9,1,1,20481
16,343,5,67,5,14,1,1,20482
17,343,5,807,3,17,1,1,20483
18,343,5,10,166,21,1,1,20484
19,343,5,810,166,23,1,1,20485
0,343,5,812,164,24,2,1,20486
0,343,5,811,164,22,2,1,20487
0,343,5,20,9,3,2,1,20488
0,343,5,5,205,20,2,1,20489
0,343,5,15,205,19,2,1,20490
1,344,7,1,1,1,1,1,20491
2,344,7,18,1,4,1,1,20492
3,344,7,4,6,3,1,1,20493
4,344,7,20,9,2,1,1,20494
5,344,7,17,9,7,1,1,20495
6,344,7,3,131,10,1,1,20496
7,344,7,9,4,8,1,1,20497
8,344,7,67,5,15,1,1,20498
9,344,7,24,10,5,1,1,20499
10,344,7,16,10,9,1,1,20500
11,344,7,30,131,13,1,1,20501
12,344,7,153,5,16,1,1,20502
13,344,7,807,3,12,1,1,20503
14,344,7,22,3,11,1,1,20504
15,344,7,13,6,6,1,1,20505
16,344,7,5,205,19,1,1,20506
17,344,7,808,4,14,1,1,20507
18,344,7,812,164,24,1,1,20508
19,344,7,810,166,23,1,1,20509
0,344,7,10,166,21,2,1,20510
0,344,7,15,205,20,2,1,20511
0,344,7,37,15,17,2,1,20512
0,344,7,811,164,22,2,1,20513
0,344,7,155,15,18,2,1,20514
1,345,12,20,9,1,1,1,20515
2,345,12,1,1,3,1,1,20516
3,345,12,18,1,7,1,1,20517
4,345,12,22,3,9,1,1,20518
5,345,12,9,4,6,1,1,20519
6,345,12,16,10,13,1,1,20520
7,345,12,155,15,18,1,1,20521
8,345,12,4,6,4,1,1,20522
9,345,12,67,5,11,1,1,20523
10,345,12,3,131,12,1,1,20524
11,345,12,13,6,5,1,1,20525
12,345,12,37,15,16,1,1,20526
13,345,12,153,5,17,1,1,20527
14,345,12,808,4,10,1,1,20528
15,345,12,30,131,15,1,1,20529
16,345,12,24,10,14,1,1,20530
17,345,12,810,166,21,1,1,20531
18,345,12,812,164,23,1,1,20532
19,345,12,10,166,22,1,1,20533
20,345,12,811,164,24,1,1,20534
21,345,12,15,205,19,1,1,20535
0,345,12,807,3,8,2,1,20536
0,345,12,5,205,20,2,1,20537
0,345,12,17,9,2,2,1,20538
1,346,9,17,9,2,1,1,20539
2,346,9,1,1,4,1,1,20540
3,346,9,3,131,5,1,1,20541
4,346,9,18,1,14,1,1,20542
5,346,9,22,3,8,1,1,20543
6,346,9,155,15,12,1,1,20544
7,346,9,20,9,1,1,1,20545
8,346,9,16,10,11,1,1,20546
9,346,9,30,131,10,1,1,20547
10,346,9,807,3,13,1,1,20548
11,346,9,24,10,20,1,1,20549
12,346,9,67,5,16,1,1,20550
13,346,9,808,4,15,1,1,20551
14,346,9,4,6,3,1,1,20552
15,346,9,13,6,7,1,1,20553
16,346,9,15,205,21,1,1,20554
17,346,9,5,205,18,1,1,20555
18,346,9,10,166,19,1,1,20556
19,346,9,812,164,23,1,1,20557
20,346,9,29,164,24,1,1,20558
0,346,9,153,5,17,2,1,20559
0,346,9,37,15,9,2,1,20560
0,346,9,9,4,6,2,1,20561
0,346,9,810,166,22,2,1,20562
1,347,10,4,6,2,1,1,20563
2,347,10,13,6,3,1,1,20564
3,347,10,20,9,1,1,1,20565
4,347,10,1,1,6,1,1,20566
5,347,10,18,1,5,1,1,20567
6,347,10,17,9,4,1,1,20568
7,347,10,9,4,7,1,1,20569
8,347,10,3,131,9,1,1,20570
9,347,10,30,131,11,1,1,20571
10,347,10,808,4,13,1,1,20572
11,347,10,155,15,12,1,1,20573
12,347,10,22,3,8,1,1,20574
13,347,10,807,3,10,1,1,20575
14,347,10,37,15,14,1,1,20576
15,347,10,153,5,15,1,1,20577
