,resultId,NN_Outcome,NN_Bin
358,24564,14,4
348,24554,15,4
357,24563,16,4
349,24555,17,4
354,24560,18,4
356,24562,19,4
355,24561,20,4
361,24567,1,1
362,24568,2,1
360,24566,3,1
379,24585,4,2
364,24570,5,2
369,24575,6,2
363,24569,7,3
366,24572,8,3
365,24571,9,3
373,24579,10,3
367,24573,11,4
371,24577,12,4
372,24578,13,4
370,24576,14,4
368,24574,15,4
378,24584,16,4
375,24581,17,4
377,24583,18,4
376,24582,19,4
374,24580,20,4
386,24592,1,1
396,24602,2,1
380,24586,3,1
393,24599,4,2
399,24605,5,2
384,24590,6,2
383,24589,7,3
387,24593,8,3
397,24603,9,3
385,24591,10,3
398,24604,11,4
389,24595,12,4
392,24598,13,4
381,24587,14,4
394,24600,15,4
395,24601,16,4
388,24594,17,4
390,24596,18,4
391,24597,19,4
382,24588,20,4
400,24606,1,1
401,24607,2,1
405,24611,3,1
404,24610,4,2
402,24608,5,2
407,24613,6,2
415,24621,7,3
410,24616,8,3
419,24625,9,3
403,24609,10,3
406,24612,11,4
409,24615,12,4
411,24617,13,4
412,24618,14,4
408,24614,15,4
417,24623,16,4
418,24624,17,4
414,24620,18,4
413,24619,19,4
416,24622,20,4
