,round,resultId,raceId,circuitId,driverId,constructorId,position,proba_1,Pred_Position,Delta,Spread,pos_group,pred_pos_group
101,6,24307,1015,6,20,6,2,0,3,1,1,1,1
103,6,24309,1015,6,830,9,4,0,4,0,1,2,2
104,6,24310,1015,6,842,9,5,0,5,0,1,2,2
105,6,24311,1015,6,832,1,6,0,6,0,1,2,2
106,6,24312,1015,6,826,5,7,0,7,0,1,3,3
107,6,24313,1015,6,848,5,8,0,8,0,1,3,3
108,6,24314,1015,6,817,4,9,0,9,0,1,3,3
109,6,24315,1015,6,154,210,10,0,10,0,1,3,3
110,6,24316,1015,6,846,1,11,0,11,0,1,4,4
111,6,24317,1015,6,825,210,14,0,12,2,1,4,4
112,6,24318,1015,6,815,211,12,0,13,1,1,4,4
113,6,24319,1015,6,807,4,13,0,14,1,1,4,4
114,6,24320,1015,6,847,3,15,0,15,0,1,4,4
115,6,24321,1015,6,840,211,16,0,16,0,1,4,4
116,6,24322,1015,6,8,51,17,0,17,0,1,4,4
117,6,24323,1015,6,9,3,18,0,18,0,1,4,4
118,6,24324,1015,6,841,51,19,0,19,0,1,4,4
119,6,24325,1015,6,844,6,0,0,20,20,0,4,4
121,7,24327,1016,7,20,6,2,0.7,1,1,1,1,1
120,7,24326,1016,7,1,131,1,0.2,2,1,1,1,1
127,7,24333,1016,7,842,9,8,0.1,3,5,0,3,1
122,7,24328,1016,7,844,6,3,0,4,1,1,1,2
123,7,24329,1016,7,822,131,4,0,5,1,1,2,2
124,7,24330,1016,7,830,9,5,0,6,1,1,2,2
125,7,24331,1016,7,817,4,6,0,7,1,1,2,3
126,7,24332,1016,7,807,4,7,0,8,1,1,3,3
128,7,24334,1016,7,840,211,9,0,9,0,1,3,3
129,7,24335,1016,7,826,5,10,0,10,0,1,3,3
130,7,24336,1016,7,832,1,11,0,11,0,1,4,4
131,7,24337,1016,7,815,211,12,0,12,0,1,4,4
132,7,24338,1016,7,841,51,13,0,13,0,1,4,4
133,7,24339,1016,7,154,210,14,0,14,0,1,4,4
134,7,24340,1016,7,8,51,15,0,15,0,1,4,4
135,7,24341,1016,7,847,3,16,0,16,0,1,4,4
136,7,24342,1016,7,825,210,17,0,17,0,1,4,4
137,7,24343,1016,7,9,3,18,0,18,0,1,4,4
138,7,24344,1016,7,848,5,0,0,19,19,0,4,4
139,7,24345,1016,7,846,1,0,0,20,20,0,4,4
140,8,24346,1017,34,1,131,1,0.7,1,0,1,1,1
143,8,24349,1017,34,830,9,4,0.3,2,2,1,2,1
149,8,24355,1017,34,842,9,10,0.2,3,7,0,3,1
142,8,24348,1017,34,844,6,3,0.1,4,1,1,1,2
141,8,24347,1017,34,822,131,2,0,5,3,0,1,2
