,raceId,round,circuitId,driverId,Prediction,Actual,proba_1,Win,podium,proba_1_max,winner,top2,top3
95,1014,5,4,841,0,0,0.0,0,0,0.6,0,0,0
96,1014,5,4,847,0,0,0.0,0,0,0.6,0,0,0
97,1014,5,4,9,0,0,0.0,0,0,0.6,0,0,0
98,1014,5,4,840,0,0,0.0,0,0,0.6,0,0,0
99,1014,5,4,846,0,0,0.0,0,0,0.6,0,0,0
100,1015,6,6,1,1,1,0.6,1,1,0.6,1,1,1
101,1015,6,6,20,0,0,0.0,0,2,0.6,0,0,0
102,1015,6,6,822,0,0,0.0,0,3,0.6,0,0,0
103,1015,6,6,830,0,0,0.1,0,0,0.6,0,0,0
104,1015,6,6,842,0,0,0.0,0,0,0.6,0,0,0
105,1015,6,6,832,0,0,0.0,0,0,0.6,0,0,0
106,1015,6,6,826,0,0,0.0,0,0,0.6,0,0,0
107,1015,6,6,848,0,0,0.0,0,0,0.6,0,0,0
108,1015,6,6,817,0,0,0.0,0,0,0.6,0,0,0
109,1015,6,6,154,0,0,0.0,0,0,0.6,0,0,0
110,1015,6,6,846,0,0,0.0,0,0,0.6,0,0,0
111,1015,6,6,825,0,0,0.0,0,0,0.6,0,0,0
112,1015,6,6,815,0,0,0.0,0,0,0.6,0,0,0
113,1015,6,6,807,0,0,0.0,0,0,0.6,0,0,0
114,1015,6,6,847,0,0,0.0,0,0,0.6,0,0,0
115,1015,6,6,840,0,0,0.0,0,0,0.6,0,0,0
116,1015,6,6,8,0,0,0.2,0,0,0.6,0,0,0
117,1015,6,6,9,0,0,0.0,0,0,0.6,0,0,0
118,1015,6,6,841,0,0,0.0,0,0,0.6,0,0,0
119,1015,6,6,844,0,0,0.0,0,0,0.6,0,0,0
120,1016,7,7,1,0,1,0.2,1,1,0.8,0,0,0
121,1016,7,7,20,1,0,0.8,0,2,0.8,0,1,1
122,1016,7,7,844,0,0,0.1,0,3,0.8,0,0,0
123,1016,7,7,822,0,0,0.0,0,0,0.8,0,0,0
124,1016,7,7,830,0,0,0.0,0,0,0.8,0,0,0
125,1016,7,7,817,0,0,0.1,0,0,0.8,0,0,0
126,1016,7,7,807,0,0,0.0,0,0,0.8,0,0,0
127,1016,7,7,842,0,0,0.0,0,0,0.8,0,0,0
128,1016,7,7,840,0,0,0.0,0,0,0.8,0,0,0
129,1016,7,7,826,0,0,0.0,0,0,0.8,0,0,0
130,1016,7,7,832,0,0,0.0,0,0,0.8,0,0,0
131,1016,7,7,815,0,0,0.0,0,0,0.8,0,0,0
132,1016,7,7,841,0,0,0.0,0,0,0.8,0,0,0
133,1016,7,7,154,0,0,0.0,0,0,0.8,0,0,0
134,1016,7,7,8,0,0,0.0,0,0,0.8,0,0,0
135,1016,7,7,847,0,0,0.0,0,0,0.8,0,0,0
136,1016,7,7,825,0,0,0.1,0,0,0.8,0,0,0
137,1016,7,7,9,0,0,0.0,0,0,0.8,0,0,0
138,1016,7,7,848,0,0,0.0,0,0,0.8,0,0,0
139,1016,7,7,846,0,0,0.0,0,0,0.8,0,0,0
140,1017,8,34,1,1,1,0.6,1,1,0.6,1,1,1
141,1017,8,34,822,0,0,0.1,0,2,0.6,0,0,0
142,1017,8,34,844,0,0,0.3,0,3,0.6,0,0,0
143,1017,8,34,830,0,0,0.3,0,0,0.6,0,0,0
144,1017,8,34,20,0,0,0.0,0,0,0.6,0,0,0
145,1017,8,34,832,0,0,0.1,0,0,0.6,0,0,0
146,1017,8,34,8,0,0,0.0,0,0,0.6,0,0,0
147,1017,8,34,807,0,0,0.0,0,0,0.6,0,0,0
148,1017,8,34,846,0,0,0.1,0,0,0.6,0,0,0
149,1017,8,34,842,0,0,0.0,0,0,0.6,0,0,0
150,1017,8,34,817,0,0,0.0,0,0,0.6,0,0,0
151,1017,8,34,815,0,0,0.0,0,0,0.6,0,0,0
152,1017,8,34,840,0,0,0.0,0,0,0.6,0,0,0
153,1017,8,34,826,0,0,0.0,0,0,0.6,0,0,0
154,1017,8,34,848,0,0,0.0,0,0,0.6,0,0,0
155,1017,8,34,841,0,0,0.0,0,0,0.6,0,0,0
156,1017,8,34,825,0,0,0.0,0,0,0.6,0,0,0
157,1017,8,34,9,0,0,0.0,0,0,0.6,0,0,0
158,1017,8,34,847,0,0,0.0,0,0,0.6,0,0,0
159,1017,8,34,154,0,0,0.0,0,0,0.6,0,0,0
160,1018,9,70,830,0,1,0.4,1,1,0.4,1,1,1
161,1018,9,70,844,0,0,0.4,0,2,0.4,0,1,1
162,1018,9,70,822,0,0,0.3,0,3,0.4,0,0,0
163,1018,9,70,20,0,0,0.0,0,0,0.4,0,0,0
164,1018,9,70,1,0,0,0.2,0,0,0.4,0,0,0
165,1018,9,70,846,0,0,0.0,0,0,0.4,0,0,0
166,1018,9,70,842,0,0,0.0,0,0,0.4,0,0,0
167,1018,9,70,832,0,0,0.0,0,0,0.4,0,0,0
168,1018,9,70,8,0,0,0.1,0,0,0.4,0,0,0
169,1018,9,70,841,0,0,0.0,0,0,0.4,0,0,0
170,1018,9,70,815,0,0,0.0,0,0,0.4,0,0,0
171,1018,9,70,817,0,0,0.0,0,0,0.4,0,0,0
172,1018,9,70,807,0,0,0.0,0,0,0.4,0,0,0
173,1018,9,70,840,0,0,0.0,0,0,0.4,0,0,0
174,1018,9,70,848,0,0,0.0,0,0,0.4,0,0,0
175,1018,9,70,154,0,0,0.0,0,0,0.4,0,0,0
176,1018,9,70,826,0,0,0.0,0,0,0.4,0,0,0
177,1018,9,70,847,0,0,0.3,0,0,0.4,0,0,0
178,1018,9,70,825,0,0,0.0,0,0,0.4,0,0,0
179,1018,9,70,9,0,0,0.0,0,0,0.4,0,0,0
180,1019,10,9,1,0,1,0.5,1,1,0.5,1,1,1
181,1019,10,9,822,0,0,0.2,0,2,0.5,0,0,0
182,1019,10,9,844,0,0,0.0,0,3,0.5,0,0,0
183,1019,10,9,842,0,0,0.0,0,0,0.5,0,0,0
184,1019,10,9,830,0,0,0.0,0,0,0.5,0,0,0
185,1019,10,9,832,0,0,0.0,0,0,0.5,0,0,0
186,1019,10,9,817,0,0,0.0,0,0,0.5,0,0,0
187,1019,10,9,8,0,0,0.2,0,0,0.5,0,0,0
188,1019,10,9,826,0,0,0.0,0,0,0.5,0,0,0
189,1019,10,9,807,0,0,0.0,0,0,0.5,0,0,0
190,1019,10,9,846,0,0,0.0,0,0,0.5,0,0,0
191,1019,10,9,848,0,0,0.0,0,0,0.5,0,0,0
192,1019,10,9,840,0,0,0.0,0,0,0.5,0,0,0
193,1019,10,9,847,0,0,0.0,0,0,0.5,0,0,0
194,1019,10,9,9,0,0,0.0,0,0,0.5,0,0,0
195,1019,10,9,20,0,0,0.0,0,0,0.5,0,0,0
196,1019,10,9,815,0,0,0.0,0,0,0.5,0,0,0
197,1019,10,9,841,0,0,0.0,0,0,0.5,0,0,0
198,1019,10,9,154,0,0,0.0,0,0,0.5,0,0,0
199,1019,10,9,825,0,0,0.0,0,0,0.5,0,0,0
200,1020,11,10,830,0,1,0.1,1,1,0.6,0,0,0
201,1020,11,10,20,0,0,0.2,0,2,0.6,0,0,0
202,1020,11,10,826,0,0,0.0,0,3,0.6,0,0,0
203,1020,11,10,840,0,0,0.0,0,0,0.6,0,0,0
204,1020,11,10,832,0,0,0.0,0,0,0.6,0,0,0
205,1020,11,10,848,0,0,0.0,0,0,0.6,0,0,0
206,1020,11,10,154,0,0,0.0,0,0,0.6,0,0,0
207,1020,11,10,825,0,0,0.0,0,0,0.6,0,0,0
208,1020,11,10,1,1,0,0.6,0,0,0.6,0,0,0
209,1020,11,10,9,0,0,0.0,0,0,0.6,0,0,0
210,1020,11,10,847,0,0,0.0,0,0,0.6,0,0,0
211,1020,11,10,8,0,0,0.3,0,0,0.6,0,0,0
212,1020,11,10,841,0,0,0.0,0,0,0.6,0,0,0
213,1020,11,10,842,0,0,0.0,0,0,0.6,0,0,0
214,1020,11,10,822,0,0,0.0,0,0,0.6,0,0,0
215,1020,11,10,807,0,0,0.0,0,0,0.6,0,0,0
216,1020,11,10,844,0,0,0.0,0,0,0.6,0,0,0
217,1020,11,10,846,0,0,0.0,0,0,0.6,0,0,0
218,1020,11,10,817,0,0,0.0,0,0,0.6,0,0,0
219,1020,11,10,815,0,0,0.0,0,0,0.6,0,0,0
220,1021,12,11,1,0,1,0.0,1,1,0.5,0,0,0
221,1021,12,11,830,0,0,0.5,0,2,0.5,0,1,1
222,1021,12,11,20,0,0,0.2,0,3,0.5,0,0,0
223,1021,12,11,844,0,0,0.0,0,0,0.5,0,0,0
224,1021,12,11,832,0,0,0.0,0,0,0.5,0,0,0
225,1021,12,11,842,0,0,0.0,0,0,0.5,0,0,0
226,1021,12,11,8,0,0,0.0,0,0,0.5,0,0,0
227,1021,12,11,822,0,0,0.1,0,0,0.5,0,0,0
228,1021,12,11,846,0,0,0.0,0,0,0.5,0,0,0
229,1021,12,11,848,0,0,0.0,0,0,0.5,0,0,0
230,1021,12,11,815,0,0,0.0,0,0,0.5,0,0,0
231,1021,12,11,807,0,0,0.0,0,0,0.5,0,0,0
232,1021,12,11,825,0,0,0.0,0,0,0.5,0,0,0
233,1021,12,11,817,0,0,0.0,0,0,0.5,0,0,0
234,1021,12,11,826,0,0,0.0,0,0,0.5,0,0,0
235,1021,12,11,847,0,0,0.0,0,0,0.5,0,0,0
236,1021,12,11,840,0,0,0.0,0,0,0.5,0,0,0
237,1021,12,11,841,0,0,0.0,0,0,0.5,0,0,0
238,1021,12,11,9,0,0,0.0,0,0,0.5,0,0,0
239,1021,12,11,154,0,0,0.0,0,0,0.5,0,0,0
240,1022,13,13,844,0,1,0.1,1,1,0.7,0,0,0
241,1022,13,13,1,1,0,0.7,0,2,0.7,0,1,1
242,1022,13,13,822,0,0,0.0,0,3,0.7,0,0,0
243,1022,13,13,20,0,0,0.2,0,0,0.7,0,0,0
244,1022,13,13,848,0,0,0.0,0,0,0.7,0,0,0
245,1022,13,13,815,0,0,0.0,0,0,0.7,0,0,0
246,1022,13,13,826,0,0,0.0,0,0,0.7,0,0,0
247,1022,13,13,807,0,0,0.0,0,0,0.7,0,0,0
248,1022,13,13,842,0,0,0.0,0,0,0.7,0,0,0
249,1022,13,13,840,0,0,0.0,0,0,0.7,0,0,0
250,1022,13,13,846,0,0,0.0,0,0,0.7,0,0,0
251,1022,13,13,825,0,0,0.0,0,0,0.7,0,0,0
252,1022,13,13,154,0,0,0.0,0,0,0.7,0,0,0
253,1022,13,13,817,0,0,0.0,0,0,0.7,0,0,0
254,1022,13,13,847,0,0,0.0,0,0,0.7,0,0,0
255,1022,13,13,8,0,0,0.2,0,0,0.7,0,0,0
256,1022,13,13,9,0,0,0.1,0,0,0.7,0,0,0
257,1022,13,13,841,0,0,0.0,0,0,0.7,0,0,0
258,1022,13,13,832,0,0,0.0,0,0,0.7,0,0,0
259,1022,13,13,830,0,0,0.0,0,0,0.7,0,0,0
260,1023,14,14,844,0,1,0.1,1,1,0.6,0,0,0
261,1023,14,14,822,0,0,0.0,0,2,0.6,0,0,0
262,1023,14,14,1,1,0,0.6,0,3,0.6,0,0,1
263,1023,14,14,817,0,0,0.0,0,0,0.6,0,0,0
264,1023,14,14,807,0,0,0.0,0,0,0.6,0,0,0
265,1023,14,14,848,0,0,0.0,0,0,0.6,0,0,0
266,1023,14,14,815,0,0,0.0,0,0,0.6,0,0,0
267,1023,14,14,830,0,0,0.0,0,0,0.6,0,0,0
268,1023,14,14,841,0,0,0.0,0,0,0.6,0,0,0
269,1023,14,14,846,0,0,0.0,0,0,0.6,0,0,0
270,1023,14,14,842,0,0,0.0,0,0,0.6,0,0,0
271,1023,14,14,840,0,0,0.0,0,0,0.6,0,0,0
272,1023,14,14,20,0,0,0.1,0,0,0.6,0,0,0
273,1023,14,14,847,0,0,0.0,0,0,0.6,0,0,0
274,1023,14,14,8,0,0,0.5,0,0,0.6,0,0,0
275,1023,14,14,154,0,0,0.0,0,0,0.6,0,0,0
276,1023,14,14,9,0,0,0.0,0,0,0.6,0,0,0
277,1023,14,14,825,0,0,0.0,0,0,0.6,0,0,0
278,1023,14,14,826,0,0,0.0,0,0,0.6,0,0,0
279,1023,14,14,832,0,0,0.0,0,0,0.6,0,0,0
280,1024,15,15,20,0,1,0.0,1,1,0.7,0,0,0
281,1024,15,15,844,0,0,0.1,0,2,0.7,0,0,0
282,1024,15,15,830,0,0,0.0,0,3,0.7,0,0,0
283,1024,15,15,1,1,0,0.7,0,0,0.7,0,0,0
284,1024,15,15,822,0,0,0.0,0,0,0.7,0,0,0
285,1024,15,15,848,0,0,0.0,0,0,0.7,0,0,0
286,1024,15,15,846,0,0,0.0,0,0,0.7,0,0,0
287,1024,15,15,842,0,0,0.0,0,0,0.7,0,0,0
288,1024,15,15,807,0,0,0.0,0,0,0.7,0,0,0
289,1024,15,15,841,0,0,0.0,0,0,0.7,0,0,0
290,1024,15,15,154,0,0,0.0,0,0,0.7,0,0,0
291,1024,15,15,832,0,0,0.0,0,0,0.7,0,0,0
292,1024,15,15,840,0,0,0.0,0,0,0.7,0,0,0
293,1024,15,15,817,0,0,0.0,0,0,0.7,0,0,0
294,1024,15,15,826,0,0,0.0,0,0,0.7,0,0,0
295,1024,15,15,9,0,0,0.0,0,0,0.7,0,0,0
296,1024,15,15,825,0,0,0.0,0,0,0.7,0,0,0
297,1024,15,15,8,0,0,0.1,0,0,0.7,0,0,0
298,1024,15,15,815,0,0,0.0,0,0,0.7,0,0,0
299,1024,15,15,847,0,0,0.0,0,0,0.7,0,0,0
300,1025,16,71,1,1,1,0.8,1,1,0.8,1,1,1
301,1025,16,71,822,0,0,0.2,0,2,0.8,0,0,0
302,1025,16,71,844,0,0,0.1,0,3,0.8,0,0,0
303,1025,16,71,830,0,0,0.1,0,0,0.8,0,0,0
304,1025,16,71,848,0,0,0.1,0,0,0.8,0,0,0
305,1025,16,71,832,0,0,0.0,0,0,0.8,0,0,0
306,1025,16,71,815,0,0,0.0,0,0,0.8,0,0,0
307,1025,16,71,846,0,0,0.0,0,0,0.8,0,0,0
308,1025,16,71,825,0,0,0.0,0,0,0.8,0,0,0
309,1025,16,71,807,0,0,0.0,0,0,0.8,0,0,0
310,1025,16,71,840,0,0,0.0,0,0,0.8,0,0,0
311,1025,16,71,826,0,0,0.0,0,0,0.8,0,0,0
312,1025,16,71,8,0,0,0.0,0,0,0.8,0,0,0
313,1025,16,71,842,0,0,0.0,0,0,0.8,0,0,0
314,1025,16,71,841,0,0,0.0,0,0,0.8,0,0,0
315,1025,16,71,9,0,0,0.0,0,0,0.8,0,0,0
316,1025,16,71,847,0,0,0.0,0,0,0.8,0,0,0
317,1025,16,71,20,0,0,0.0,0,0,0.8,0,0,0
318,1025,16,71,817,0,0,0.0,0,0,0.8,0,0,0
319,1025,16,71,154,0,0,0.0,0,0,0.8,0,0,0
320,1026,17,22,822,0,1,0.0,1,1,0.3,0,0,0
321,1026,17,22,20,0,0,0.3,0,2,0.3,0,1,1
322,1026,17,22,1,0,0,0.0,0,3,0.3,0,0,0
323,1026,17,22,848,0,0,0.0,0,0,0.3,0,0,0
324,1026,17,22,832,0,0,0.0,0,0,0.3,0,0,0
325,1026,17,22,844,0,0,0.0,0,0,0.3,0,0,0
326,1026,17,22,842,0,0,0.0,0,0,0.3,0,0,0
327,1026,17,22,815,0,0,0.0,0,0,0.3,0,0,0
328,1026,17,22,840,0,0,0.0,0,0,0.3,0,0,0
329,1026,17,22,826,0,0,0.0,0,0,0.3,0,0,0
330,1026,17,22,846,0,0,0.0,0,0,0.3,0,0,0
331,1026,17,22,8,0,0,0.0,0,0,0.3,0,0,0
332,1026,17,22,154,0,0,0.0,0,0,0.3,0,0,0
333,1026,17,22,841,0,0,0.0,0,0,0.3,0,0,0
334,1026,17,22,825,0,0,0.0,0,0,0.3,0,0,0
335,1026,17,22,847,0,0,0.0,0,0,0.3,0,0,0
336,1026,17,22,9,0,0,0.2,0,0,0.3,0,0,0
337,1026,17,22,830,0,0,0.0,0,0,0.3,0,0,0
338,1026,17,22,817,0,0,0.0,0,0,0.3,0,0,0
339,1026,17,22,807,0,0,0.0,0,0,0.3,0,0,0
340,1027,18,32,1,0,1,0.1,1,1,0.4,0,0,0
341,1027,18,32,20,0,0,0.4,0,2,0.4,0,1,1
342,1027,18,32,822,0,0,0.0,0,3,0.4,0,0,0
343,1027,18,32,844,0,0,0.2,0,0,0.4,0,0,0
344,1027,18,32,848,0,0,0.0,0,0,0.4,0,0,0
345,1027,18,32,830,0,0,0.1,0,0,0.4,0,0,0
346,1027,18,32,815,0,0,0.0,0,0,0.4,0,0,0
347,1027,18,32,817,0,0,0.0,0,0,0.4,0,0,0
348,1027,18,32,842,0,0,0.0,0,0,0.4,0,0,0
349,1027,18,32,807,0,0,0.0,0,0,0.4,0,0,0
350,1027,18,32,826,0,0,0.0,0,0,0.4,0,0,0
351,1027,18,32,840,0,0,0.0,0,0,0.4,0,0,0
352,1027,18,32,832,0,0,0.0,0,0,0.4,0,0,0
353,1027,18,32,841,0,0,0.0,0,0,0.4,0,0,0
354,1027,18,32,825,0,0,0.0,0,0,0.4,0,0,0
355,1027,18,32,847,0,0,0.0,0,0,0.4,0,0,0
356,1027,18,32,154,0,0,0.0,0,0,0.4,0,0,0
357,1027,18,32,9,0,0,0.0,0,0,0.4,0,0,0
358,1027,18,32,8,0,0,0.0,0,0,0.4,0,0,0
359,1027,18,32,846,0,0,0.0,0,0,0.4,0,0,0
360,1028,19,69,822,0,1,0.3,1,1,0.3,1,1,1
361,1028,19,69,1,0,0,0.3,0,2,0.3,0,1,1
362,1028,19,69,830,0,0,0.2,0,3,0.3,0,0,0
363,1028,19,69,844,0,0,0.2,0,0,0.3,0,0,0
364,1028,19,69,848,0,0,0.0,0,0,0.3,0,0,0
365,1028,19,69,817,0,0,0.0,0,0,0.3,0,0,0
366,1028,19,69,846,0,0,0.0,0,0,0.3,0,0,0
367,1028,19,69,832,0,0,0.0,0,0,0.3,0,0,0
368,1028,19,69,807,0,0,0.0,0,0,0.3,0,0,0
369,1028,19,69,815,0,0,0.2,0,0,0.3,0,0,0
370,1028,19,69,8,0,0,0.0,0,0,0.3,0,0,0
371,1028,19,69,826,0,0,0.0,0,0,0.3,0,0,0
372,1028,19,69,840,0,0,0.0,0,0,0.3,0,0,0
373,1028,19,69,841,0,0,0.0,0,0,0.3,0,0,0
374,1028,19,69,154,0,0,0.0,0,0,0.3,0,0,0
375,1028,19,69,842,0,0,0.0,0,0,0.3,0,0,0
376,1028,19,69,847,0,0,0.0,0,0,0.3,0,0,0
377,1028,19,69,825,0,0,0.0,0,0,0.3,0,0,0
378,1028,19,69,9,0,0,0.0,0,0,0.3,0,0,0
379,1028,19,69,20,0,0,0.2,0,0,0.3,0,0,0
380,1029,20,18,830,0,1,0.4,1,1,0.4,1,1,1
381,1029,20,18,842,0,0,0.0,0,2,0.4,0,0,0
382,1029,20,18,832,0,0,0.0,0,3,0.4,0,0,0
383,1029,20,18,8,0,0,0.1,0,0,0.4,0,0,0
384,1029,20,18,841,0,0,0.0,0,0,0.4,0,0,0
385,1029,20,18,817,0,0,0.0,0,0,0.4,0,0,0
386,1029,20,18,1,0,0,0.1,0,0,0.4,0,0,0
387,1029,20,18,846,0,0,0.0,0,0,0.4,0,0,0
388,1029,20,18,815,0,0,0.0,0,0,0.4,0,0,0
389,1029,20,18,826,0,0,0.0,0,0,0.4,0,0,0
390,1029,20,18,825,0,0,0.0,0,0,0.4,0,0,0
391,1029,20,18,847,0,0,0.0,0,0,0.4,0,0,0
392,1029,20,18,154,0,0,0.0,0,0,0.4,0,0,0
393,1029,20,18,848,0,0,0.0,0,0,0.4,0,0,0
394,1029,20,18,807,0,0,0.0,0,0,0.4,0,0,0
395,1029,20,18,9,0,0,0.0,0,0,0.4,0,0,0
396,1029,20,18,20,0,0,0.1,0,0,0.4,0,0,0
397,1029,20,18,844,0,0,0.0,0,0,0.4,0,0,0
398,1029,20,18,840,0,0,0.0,0,0,0.4,0,0,0
399,1029,20,18,822,0,0,0.0,0,0,0.4,0,0,0
400,1030,21,24,1,1,1,0.9,1,1,0.9,1,1,1
401,1030,21,24,830,0,0,0.3,0,2,0.9,0,0,0
402,1030,21,24,844,0,0,0.0,0,3,0.9,0,0,0
403,1030,21,24,822,0,0,0.0,0,0,0.9,0,0,0
404,1030,21,24,20,0,0,0.0,0,0,0.9,0,0,0
405,1030,21,24,848,0,0,0.0,0,0,0.9,0,0,0
406,1030,21,24,815,0,0,0.0,0,0,0.9,0,0,0
407,1030,21,24,846,0,0,0.0,0,0,0.9,0,0,0
408,1030,21,24,826,0,0,0.0,0,0,0.9,0,0,0
409,1030,21,24,832,0,0,0.0,0,0,0.9,0,0,0
410,1030,21,24,817,0,0,0.0,0,0,0.9,0,0,0
411,1030,21,24,807,0,0,0.0,0,0,0.9,0,0,0
412,1030,21,24,8,0,0,0.0,0,0,0.9,0,0,0
413,1030,21,24,825,0,0,0.0,0,0,0.9,0,0,0
414,1030,21,24,154,0,0,0.0,0,0,0.9,0,0,0
415,1030,21,24,841,0,0,0.0,0,0,0.9,0,0,0
416,1030,21,24,847,0,0,0.0,0,0,0.9,0,0,0
417,1030,21,24,842,0,0,0.0,0,0,0.9,0,0,0
418,1030,21,24,9,0,0,0.0,0,0,0.9,0,0,0
419,1030,21,24,840,0,0,0.0,0,0,0.9,0,0,0
